Time,Total Pss,Heap Size(J),Heap Alloc(J),Heap Free(J),Heap Size(N),Heap Alloc(N),Heap Free(N),FD,Views,ViewRootImpl,AppContexts,Activities,WebViews,Thread,HandlerThread,Bitmap,FBReader,InsertPageAdView,ExpressBaseAdView,OpenSSL Sockets,Parcel,Binder,Parcel count,Parcel memory,Local Binders,Proxy Binder,Death Recipients,VmPeak,VmSize,VmHWM,VmRSS,Threads
05-29 13:52:43,698126,89072,64512,24560,303772,291869,11902,553,2292,3,16,6,0,295,65,326,1,2,3,28,28,204,287,93,151,73,6,37136280,34764168,927772,838688,326
05-29 13:57:43,770050,98928,74352,24576,326128,314579,11548,620,2820,3,16,6,0,304,67,364,1,2,6,28,30,242,297,96,189,73,6,37136280,34862492,960632,869892,330
05-29 14:02:44,777976,98847,74271,24576,325456,313521,11934,580,2722,3,16,6,0,300,65,371,1,2,6,19,41,238,300,96,185,73,6,37136280,34864320,1000316,880744,326
05-29 14:07:45,749104,98964,74388,24576,386952,375191,11760,546,2733,3,16,6,0,294,65,383,1,2,6,36,70,219,286,93,166,73,6,37136280,34817592,1015044,944612,319
05-29 14:12:46,769647,99490,74914,24576,343588,326029,17558,576,2757,3,16,6,0,297,65,390,1,2,6,24,26,231,292,95,178,73,6,37136280,34919168,1015044,919216,324
05-29 14:17:46,748303,98882,74306,24576,304472,292800,11671,581,2857,3,16,6,0,297,65,366,1,3,8,23,29,199,292,95,146,73,6,37136280,34908180,1103228,847052,324
05-29 14:22:47,725424,97962,73386,24576,312196,297897,14298,517,2809,3,16,6,1,302,65,352,1,3,9,14,29,229,295,101,177,73,6,37136280,34980692,1103228,852244,329
05-29 14:27:48,773848,99109,74533,24576,332216,320476,11739,596,2837,3,17,6,0,305,68,361,1,3,8,24,27,220,293,95,167,74,6,37136280,35002812,1103228,896668,330
05-29 14:32:49,685630,105226,80651,24575,423400,409940,13459,549,2921,3,17,6,1,322,69,383,1,3,9,28,41,226,307,102,173,75,8,37136280,35224804,1121264,964436,340
05-29 14:37:50,779538,102796,78220,24576,404376,392056,12319,546,2989,3,17,6,0,306,69,387,1,3,8,22,69,250,337,158,197,74,6,37136280,35061212,1121264,957164,330
05-29 14:42:51,757153,102839,78263,24576,362664,350033,12630,547,2963,3,17,6,1,310,67,373,1,3,9,24,31,215,298,102,161,74,6,37136280,35179276,1121264,909328,332
05-29 14:47:52,773268,102185,77609,24576,340800,323710,17089,602,2955,3,17,6,0,306,68,378,1,3,8,24,25,227,294,95,173,74,6,37136280,35194136,1121264,909036,334
05-29 14:52:52,922624,104293,79717,24576,559924,546654,13269,542,3032,3,18,6,0,312,70,407,1,4,9,18,37,225,314,129,169,76,6,37136280,35585260,1239476,1113776,343
05-29 14:57:53,1376109,104849,80273,24576,1043364,1030113,13250,538,3022,3,18,6,0,315,70,405,1,4,9,28,32,225,314,129,169,76,6,37136280,36105028,1597996,1591252,345
05-29 15:02:54,1386278,104113,79537,24576,1052756,1038123,14632,528,3022,3,18,6,0,308,70,404,1,4,9,21,48,205,330,151,149,76,6,37136280,35965268,1663280,1601708,337
05-29 15:07:55,761808,103082,78506,24576,349556,324636,24921,535,3001,3,18,6,0,313,70,400,1,4,9,14,32,199,316,129,143,76,6,37136280,36070348,1673736,894796,343
05-29 15:12:57,1371734,103877,79301,24576,1050652,1036655,13996,530,3006,3,18,6,0,311,70,404,1,4,9,19,32,199,316,129,143,76,6,37136280,36035416,1673736,1584884,341
05-29 15:17:58,768631,104153,79577,24576,352592,327721,24879,537,3027,3,18,6,0,309,70,408,1,4,9,13,32,199,316,129,143,76,6,37136280,36000512,1673736,849824,339
05-29 15:22:58,1377516,105132,80556,24576,1046660,1032629,14030,553,3031,3,18,6,0,309,70,411,1,4,9,28,49,199,333,153,143,76,6,37136280,36018012,1673736,1547612,340
05-29 15:27:59,1429966,105951,81375,24576,1066632,1052519,14112,542,3039,3,18,6,0,308,70,412,1,4,9,34,41,199,325,142,143,76,6,37136280,36017948,1673736,1568032,340
05-29 15:33:00,1394807,105328,80752,24576,1048600,1034477,14122,550,3039,3,18,6,0,309,70,415,1,4,9,30,51,199,333,153,143,76,6,37136280,36018012,1673736,1541064,340
05-29 15:38:01,851060,105160,80584,24576,477056,463507,13548,558,3039,3,18,6,0,312,70,416,1,4,9,24,34,198,316,129,142,76,6,37136280,36070528,1673736,955008,343
05-29 15:43:02,1352849,108143,83583,24560,1055136,1041500,13635,543,3060,3,18,6,0,310,70,424,1,4,9,32,34,198,316,129,142,76,6,37136280,36035512,1673736,1521848,341
05-29 15:48:03,775032,105152,80576,24576,371720,358607,13112,554,3111,3,18,6,0,314,70,440,1,4,9,19,34,198,316,129,142,76,6,37136280,36122820,1673736,808976,346
